EmployeeNumber,Emplyee name,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber.1,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
22,Holli G Ethridge,22.0,No,Non-Travel,1123.0,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4.0,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1.0,0,0,0
23,Cole N Poling,53.0,No,Travel_Rarely,1219.0,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4.0,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25.0,8,3,7
24,Ahmad V Lynde,38.0,No,Travel_Rarely,371.0,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4.0,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3.0,2,1,2
26,Mariano F Leary,24.0,No,Non-Travel,673.0,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3.0,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4.0,2,1,3
27,Tawanda E Buchanon,36.0,Yes,Travel_Rarely,1218.0,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1.0,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5.0,3,0,3
28,Nickolas G Grossi,34.0,No,Travel_Rarely,419.0,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2.0,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12.0,6,2,11
30,Bradford K Marlatt,21.0,No,Travel_Rarely,391.0,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0.0,0,0,0
31,Carlton P Bose,34.0,Yes,Travel_Rarely,699.0,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1.0,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4.0,2,1,3
32,Asuncion X Braunstein,53.0,No,Travel_Rarely,1282.0,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3.0,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14.0,13,4,8
33,Theron T Kramer,32.0,Yes,Travel_Frequently,1125.0,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1.0,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10.0,2,6,7
35,Jeramy F Metoyer,42.0,No,Travel_Rarely,691.0,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2.0,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9.0,7,4,2
36,Sol K Roger,44.0,No,Travel_Rarely,477.0,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4.0,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22.0,6,5,17
38,Earnest H Birkholz,,No,Travel_Rarely,705.0,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1.0,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2.0,2,2,1
39,Amada J Knouse,33.0,No,Travel_Rarely,924.0,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4.0,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1.0,1,0,0
40,Gregorio H Hottinger,44.0,No,Travel_Rarely,1459.0,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4.0,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4.0,2,1,3
41,Lawerence W Abernethy,30.0,No,Travel_Rarely,125.0,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3.0,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10.0,0,1,8
42,Marina X Quayle,39.0,Yes,Travel_Rarely,,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4.0,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1.0,0,0,0
45,Whitney N Wasinger,24.0,Yes,Travel_Rarely,813.0,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4.0,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2.0,0,2,0
46,Roy W Wilkie,43.0,No,Travel_Rarely,1273.0,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3.0,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5.0,3,1,4
47,Hyun Z Bynoe,50.0,Yes,Travel_Rarely,869.0,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3.0,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,,2,0,2
49,Katelin F Coney,35.0,No,Travel_Rarely,890.0,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4.0,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2.0,2,2,2
51,Jennifer Z Pridgen,36.0,No,Travel_Rarely,852.0,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1.0,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1.0,1,0,0
52,Zachary U Breeden,33.0,No,Travel_Frequently,1141.0,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1.0,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5.0,3,1,3
53,Deon U Mounce,35.0,No,Travel_Rarely,464.0,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4.0,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1.0,0,0,0
54,Buddy G Steinbeck,27.0,No,Travel_Rarely,1240.0,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1.0,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1.0,0,0,0
55,Julius N Bakker,26.0,Yes,Travel_Rarely,1357.0,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3.0,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1.0,0,0,1
56,Hans G Koh,27.0,No,Travel_Frequently,994.0,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3.0,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9.0,8,1,7
57,Jamal G Dimarco,30.0,No,Travel_Frequently,721.0,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4.0,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12.0,8,3,7
58,Stephan Q Ranger,41.0,Yes,Travel_Rarely,,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3.0,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22.0,15,15,8
60,Jackie P Montague,34.0,No,Non-Travel,1065.0,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3.0,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9.0,5,8,7
61,Nathanael W Ohl,37.0,No,Travel_Rarely,408.0,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2.0,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1.0,0,0,0
62,Hosea B Michelson,46.0,No,Travel_Frequently,1211.0,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4.0,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9.0,6,0,8
63,Carly L Sirianni,,No,Travel_Rarely,1229.0,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4.0,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1.0,0,0,1
64,Abram S Manrique,48.0,Yes,Travel_Rarely,626.0,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3.0,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1.0,0,0,0
65,Mica Z Herzberg,,Yes,Travel_Rarely,1434.0,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3.0,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2.0,2,2,2
68,Lemuel W Hardman,44.0,No,Travel_Rarely,,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1.0,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4.0,3,1,3
70,Shanelle Z Hick,35.0,No,Non-Travel,1097.0,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1.0,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4.0,0,2,3
72,Maryellen H Hartness,26.0,No,Travel_Rarely,1443.0,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4.0,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,,2,0,0
73,Sylvester Z Blackledge,33.0,No,Travel_Frequently,515.0,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4.0,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15.0,14,8,12
74,Vivienne X Binion,35.0,No,Travel_Frequently,853.0,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1.0,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9.0,8,1,8
75,Ahmed C Minch,35.0,No,Travel_Rarely,1142.0,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1.0,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2.0,2,2,2
76,Leopoldo U Hole,31.0,No,Travel_Rarely,655.0,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4.0,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7.0,7,1,7
77,Gemma I Chilton,37.0,No,Travel_Rarely,1115.0,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7.0,5,0,7
78,Laurence K Ryles,32.0,No,Travel_Rarely,427.0,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4.0,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9.0,8,7,8
79,Eleanor D Dickson,38.0,No,Travel_Frequently,653.0,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4.0,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10.0,3,9,9
80,Elsy B Latta,50.0,No,Travel_Rarely,989.0,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3.0,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27.0,3,13,8
81,Sherwood K Shire,59.0,No,Travel_Rarely,,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1.0,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21.0,16,7,9
83,Carolynn V Moynihan,36.0,No,Travel_Rarely,1223.0,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3.0,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17.0,14,12,8
84,Mckinley H Scofield,55.0,No,Travel_Rarely,836.0,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3.0,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5.0,0,0,2
85,Brendon V Crowther,36.0,No,Travel_Frequently,1195.0,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2.0,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,,5,0,3
86,Nancy V Trogdon,,No,Travel_Rarely,1339.0,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1.0,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1.0,0,0,0
88,Darin U Shipp,35.0,No,Travel_Frequently,664.0,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1.0,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3.0,2,1,2
90,Joel S Maine,36.0,Yes,Travel_Rarely,318.0,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3.0,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1.0,0,0,0
91,Luciana N Campfield,59.0,No,Travel_Frequently,1225.0,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3.0,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4.0,3,1,3
94,Gilbert Z Bloss,29.0,No,Travel_Rarely,1328.0,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5.0,4,0,4
95,Sharda W Choudhury,31.0,No,Travel_Rarely,1082.0,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2.0,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1.0,1,1,0
96,Chung J Moynihan,32.0,No,Travel_Rarely,548.0,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2.0,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10.0,4,0,9
97,Dayna M Edmondson,36.0,No,Travel_Rarely,132.0,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4.0,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1.0,0,0,0
98,Bobbie S Miner,31.0,No,Travel_Rarely,746.0,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4.0,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11.0,7,1,8
100,Gidget X Loring,35.0,No,Travel_Rarely,776.0,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1.0,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15.0,13,2,8
101,Hettie S Lauber,45.0,No,Travel_Rarely,193.0,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1.0,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0.0,0,0,0
102,Toi F Stallard,37.0,No,Travel_Rarely,397.0,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3.0,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5.0,2,0,2
103,Tristan L Cockrell,46.0,No,Travel_Rarely,945.0,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2.0,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,,2,0,2
104,Towanda H Matson,30.0,No,Travel_Rarely,852.0,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4.0,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10.0,8,3,0
105,Leland C Fifield,35.0,No,Travel_Rarely,1214.0,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3.0,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6.0,4,0,4
106,Audria W Barrios,55.0,No,Travel_Rarely,111.0,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4.0,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1.0,0,1,0
107,Jim J Lurie,38.0,No,Non-Travel,573.0,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4.0,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13.0,11,1,9
110,Lorette Y Petrillo,34.0,No,Travel_Rarely,1153.0,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2.0,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,,2,1,3
112,Damian X Grist,56.0,No,Travel_Rarely,1400.0,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4.0,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6.0,4,0,2
113,Zana G Ordonez,23.0,No,Travel_Rarely,541.0,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1.0,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0.0,0,0,0
116,Rhett A Chapple,51.0,No,Travel_Rarely,432.0,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4.0,Married,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4.0,2,0,3
117,Jeneva Y Bybee,30.0,No,Travel_Rarely,288.0,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4.0,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11.0,10,10,8
118,Brendon J Camp,46.0,Yes,Travel_Rarely,669.0,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4.0,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9.0,8,4,7
119,Nettie T Mccandless,40.0,No,Travel_Frequently,,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2.0,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22.0,3,11,11
120,Lezlie Z Bohannan,51.0,No,Travel_Rarely,632.0,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4.0,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10.0,7,1,0
121,Hester B Cabana,30.0,No,Travel_Rarely,1334.0,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2.0,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11.0,8,2,7
124,Isobel K Dance,46.0,No,Travel_Frequently,,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1.0,Married,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10.0,9,9,5
125,Erica S Harlan,32.0,No,Travel_Rarely,1093.0,Sales,6,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3.0,Single,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11.0,8,5,7
126,Leda X Haskell,54.0,No,Travel_Rarely,,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3.0,Married,13549,24001,9,Y,No,12,3,1,80,1,16,5,1,4.0,3,0,3
128,Loralee V Ball,24.0,No,Travel_Rarely,1353.0,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3.0,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3.0,2,0,2
129,Otha T Orrell,28.0,No,Non-Travel,120.0,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3.0,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5.0,4,0,4
131,Honey D Eaves,58.0,No,Travel_Rarely,682.0,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3.0,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37.0,10,1,8
132,Ellis V Mcneel,44.0,No,Non-Travel,489.0,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2.0,Married,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,,2,1,2
133,Gabriel S Beale,37.0,Yes,Travel_Rarely,807.0,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1.0,Divorced,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3.0,2,0,2
134,Nathanael G Mcmillin,32.0,No,Travel_Rarely,827.0,Research & Development,1,1,Life Sciences,1,134,4,Male,71,3,1,Research Scientist,1.0,Single,2956,15178,1,Y,No,13,3,4,80,0,1,2,3,1.0,0,0,0
137,Donald H Mazur,20.0,Yes,Travel_Frequently,,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4.0,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1.0,0,1,0
138,Eliz R Linneman,34.0,No,Travel_Rarely,665.0,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3.0,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16.0,13,2,10
139,Gracie P Lett,37.0,No,Non-Travel,1040.0,Research & Development,2,2,Life Sciences,1,139,3,Male,100,2,2,Healthcare Representative,4.0,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1.0,0,0,0
140,Gema S Grover,59.0,No,Non-Travel,1420.0,Human Resources,2,4,Human Resources,1,140,3,Female,32,2,5,Manager,4.0,Married,18844,21922,9,Y,No,21,4,4,80,1,30,3,3,3.0,2,2,2
141,Delana Y Freedman,50.0,No,Travel_Frequently,1115.0,Research & Development,1,3,Life Sciences,1,141,1,Female,73,3,5,Research Director,2.0,Married,18172,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8.0,3,0,7
142,Mary Y Tate,25.0,Yes,Travel_Rarely,240.0,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3.0,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6.0,4,0,3
143,Abe J Macleod,25.0,No,Travel_Rarely,1280.0,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4.0,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2.0,2,2,1
144,Evon Q Lawson,22.0,No,Travel_Rarely,534.0,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4.0,Single,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0.0,0,0,0
145,Jerlene P Dunnigan,51.0,No,Travel_Frequently,1456.0,Research & Development,1,4,Medical,1,145,1,Female,30,2,3,Healthcare Representative,1.0,Single,7484,25796,3,Y,No,20,4,3,80,0,23,1,2,13.0,12,12,8
147,Bobbie X Schoenrock,34.0,Yes,Travel_Frequently,658.0,Research & Development,7,3,Life Sciences,1,147,1,Male,66,1,2,Laboratory Technician,3.0,Single,6074,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9.0,7,0,6
148,Mike A Waddington,54.0,No,Non-Travel,142.0,Human Resources,26,3,Human Resources,1,148,4,Female,30,4,4,Manager,4.0,Single,17328,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5.0,3,4,4
150,Nigel K Wadsworth,24.0,No,Travel_Rarely,1127.0,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3.0,Married,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5.0,3,1,2
151,Hayden E Novack,34.0,No,Travel_Rarely,1031.0,Research & Development,6,4,Life Sciences,1,151,3,Female,45,2,2,Research Scientist,,Divorced,4505,15000,6,Y,No,15,3,3,80,1,12,3,3,1.0,0,0,0
